"Case","Case Name","Region","Status","Date Filed","Date Closed","Reason Closed","City","State","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Employees on charge/petition","Allegations","Union","Unit Sought","Voters","lat","long","formatted_address","accuracy","accuracy_type","source","address_components.city","address_components.county","address_components.state","address_components.zip","address_components.country","seached","lat_jit","long_jit","stable_address_key","match_type"
"08-RC-387546","Ridgewood Manor LLC","Region 08, Cleveland, Ohio","Open","05/22/2026","","","Maumee","OH","","","","",NA,NA,"SEIU District 1199, WV/KY/OH The Healthcare and Social Service Union, CTW, CLC",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",3,"","","Included: The Union is seeking an Armour-Globe election to determine whether All Full-Time, Part-Time, and PRN registered Nurses (RNs) employed by the Employer at its 3231 ManleyRd., Maumee, OH 43537, facility wish to be added to the existing bargaining unit of employees represented by the Union at the Employer's 3231 Manley Rd., Maumee, OH43537, facility covered by the collective bargaining agreement effective from July 1, 2025, to June 30, 2028.

Excluded: All office clerical employees, guards and supervisors as defined in the Act.",NA,41.571251,-83.685036,"Maumee, OH 43537",1,"place","TIGER/Line® from the US Census Bureau","Maumee","Lucas County","OH","43537","US",1,41.4769577325339,-83.5443791205954,NA,NA
"08-RC-387983","Bee Clean Express Car Wash","Region 08, Cleveland, Ohio","Open","06/01/2026","","","Zanesville","OH","","","","",NA,NA,"UFCW Local 1059",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",7,"","","Included: 

Team Member(s)- (training and supplemental) Team Leader, Assistant Manager, MSA 

Excluded: 

Site Manager",NA,39.927415,-82.004058,"Zanesville, OH 43701",1,"place","TIGER/Line® from the US Census Bureau","Zanesville","Muskingum County","OH","43701","US",1,39.8266630004672,-82.1164537093805,NA,NA
"08-RD-323957","Starbucks Corporation","Region 08, Cleveland, Ohio","Open","08/17/2023","","","Cleveland","OH","","","","",NA,NA,"Chicago and Midwest Regional Joint Board, Workers United/Service Employees International Union",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",17,"","","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its Store 
I0208 located at 11302 Euclid Avenue, Cleveland, Ohio. Excluded: All Store Managers, Assistant Store Managers, office clerical employees and guards, and professional employees and supervisors, as defined in the Act.",NA,41.489381,-81.667486,"Cleveland, OH 44101",1,"place","TIGER/Line® dataset from the US Census Bureau","Cleveland","Cuyahoga County","OH","44101","US",1,41.6913203760711,-81.9637962457579,NA,NA
"08-RD-341121","Andover Village Retirement Community, Ltd.","Region 08, Cleveland, Ohio","Open","04/29/2024","","","Andover","OH","A","Single Labor Organization","Initial","06/06/2024",54,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union",12,"",NA,"",NA,30,42,"",NA,"","","All full-time and regular part-time service and maintenance employees employed  by the Employer at its Andover, Ohio facility, including nurses aides, orderlies, kitchen employees, maintenance employees, restorative aides and activities aides, but excluding all vocational students, receptionists, social services employees, bookkeepers, technical employees, confidential employees, office clerical employees, registered nurses, licensed practical nurses, activities director, and all other professional employees, guards and supervisors as defined in the National Labor Relations Act.","","","",49,"","","Included: Nurses aides, orderlies, kitchen employees, maintenance employees, restorative aides, and activities aides employed by the Employer at its Andover, Ohio facility.

Excluded: All vocational students, receptionist, social service employees, bookkeepers, office clerical employees, registered nurses, licensed practical nurses, and activities.",54,41.60672,-80.5723,"Andover, OH 44003",1,"place","TIGER/Line® dataset from the US Census Bureau","Andover","Ashtabula County","OH","44003","US",1,41.114446641139,-80.9704760935858,NA,NA
"08-RD-364107","Starbucks Corporation","Region 08, Cleveland, Ohio","Open","04/16/2025","","","Ontario","OH","","","","",NA,NA,"Starbucks Workers United, affiliated with SEIU",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",24,"","","Included: All full-time and regular part-time Baristas and Shift Supervisors.

Excluded: All other employees.",NA,40.772874,-82.532057,"Ontario, OH 44862",1,"place","TIGER/Line® dataset from the US Census Bureau","Ontario","Richland County","OH","44862","US",1,40.8369220171423,-82.5583434243705,NA,NA
"08-RD-369489","Concord Steel Division of LB Metal, LLC","Region 08, Cleveland, Ohio","Open","07/17/2025","","","Warren","OH","A","Single Labor Organization","Initial","08/14/2025",9,NA,"",NA,"",NA,"",NA,9,9,"",NA,"","","All-full-time and regular part-time production and maintenance employees engaged in the fabrication of iron, steel, metal, and other products, or in maintenance work in or about the Company's plant or plants located at 1451 Buena Vista NE, Warren, Ohio and vicinity but excluding office clerical employees, draftsmen, engineering employees, watchmen, guards and supervisors as defined in the Act. 
","","","",10,"","","Included: All full-time and regular part-time production and maintenance employees.


Excluded: office and clerical employees, draftsmen, engineering employees, watchmen, guards, and supervisors.
",9,41.176641,-80.902344,"Warren, OH 44481",1,"place","TIGER/Line® dataset from the US Census Bureau","Warren","Trumbull County","OH","44481","US",1,40.836679565984,-81.3820227537634,NA,NA
"08-RD-373412","Reworld Tron Corp","Region 08, Cleveland, Ohio","Open","09/16/2025","","","Avon Lake","OH","","","","",NA,NA,"International Brotherhood of Teamsters Local 20",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",16,"","","Included: All Drivers in positions requiring a CDL employed by the Employer at its facilities located at 35850 Schneider Ct., Avon, Ohio and 33565 Pin Oak Pkwy., Avon Lake, Ohio.

Excluded: All other employees, including Drivers in positions not requiring a CDL, office clerical employees, professional employees, guards and supervisors as defined in the Act. 
",NA,41.49674,-82.017527,"Avon Lake, OH 44012",1,"place","TIGER/Line® dataset from the US Census Bureau","Avon Lake","Lorain County","OH","44012","US",1,41.5767245722504,-81.5427412657992,NA,NA
"08-RD-377894","Nick Strimbu Inc.","Region 08, Cleveland, Ohio","Open","12/23/2025","","","Brookfield","OH","A","Single Labor Organization","Initial","01/26/2026",125,NA,"Teamsters Local Union No. 261, a/w International Brotherhood of Teamsters",46,"",NA,"",NA,41,87,"",NA,"","Teamsters Local 261","All full-time drivers employed by the Employer from its Brookfield, Ohio facility, but excluding all driver managers, load planners, office clerical employees, professional employees, guards and supervisors as defined in the Act, and all other employees.","","","",106,"","Teamsters Local 261","All full-time truck drivers employed by the Employer from its Brookfield, Ohio facility, but excluding all office clerical employees, professional employees, guards and supervisors as defined by the Act.",125,41.238176,-80.573511,"Brookfield, OH 44403",1,"place","TIGER/Line® dataset from the US Census Bureau","Brookfield","Trumbull County","OH","44403","US",1,41.2051047363067,-80.2437386365831,NA,NA
"08-RD-386773","Cleveland Rape Crisis Center","Region 08, Cleveland, Ohio","Open","05/08/2026","","","Cleveland","OH","","","","",NA,NA,"SEIU District 1199",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",43,"","","Included:  All full-time and regular part-time non-supervisory employees employed by the Employer.

Excluded:  All supervisors, managers, confidential employees, and guards as defined by the Act.",NA,41.489381,-81.667486,"Cleveland, OH 44101",1,"place","TIGER/Line® dataset from the US Census Bureau","Cleveland","Cuyahoga County","OH","44101","US",1,41.8963771332716,-81.5725742004667,NA,NA
"08-RD-387152","JSW Steel USA Ohio, Inc.","Region 08, Cleveland, Ohio","Open","05/15/2026","","","Mingo Junction","OH","","","","",NA,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",250,"","","Included: All full-time and regular part-time production and maintenance employees, 
including those classified as Crane Operator, Electrician, Environmental Tech, Housekeeping, 
Maintenance Operator, Material Handler, Millwright, Utility Operator, Lab Technician, 
and Lead Lab Technician employed by the Employer at its facility located at 1500 Commercial Avenue, Mingo Junction, Ohio.

Excluded: All temporary employees, office clerical employees, professional employees, 
guards and supervisors as described in the Act.",NA,40.32174,-80.6098,"Mingo Junction, OH 43938",1,"place","TIGER/Line® from the US Census Bureau","Mingo Junction","Jefferson County","OH","43938","US",1,40.5830288040021,-80.1457306812752,NA,NA
"09-RC-305269","BROWN-FORMAN CORPORATION D/B/A WOODFORD RESERVE DISTILLERY","Region 09, Cincinnati, Ohio","Open","10/14/2022","","","Versailles","KY","A","Single Labor Organization","Initial","11/17/2022",60,NA,"International Brotherhood of Teamsters (IBT), Local 651",14,"",NA,"",NA,45,59,"",7,"","","All full-time and regular part-time regauge and processing, distillery, warehousing and bottling employees employed by the Employer at its 7855 McCracken Pike, Versailles, Kentucky facility; excluding all professional employees, office clerical employees, guards and supervisors as defined in the Act.","","","",63,"","","Included:  All hourly employees to include:  bottling, distillery, processing/regauge/wh, logistics.

Excluded:  All maintenance, clerical, adm and salaried employees as defined by the Act.",60,37.998762,-84.737666,"Versailles, KY 40383",1,"place","TIGER/Line® dataset from the US Census Bureau","Versailles","Woodford County","KY","40383","US",1,37.6638789478428,-84.8744701126989,NA,NA
"09-RC-307464","HERITAGE FIRE PROTECTION, INC.","Region 09, Cincinnati, Ohio","Open","11/18/2022","","","Ashland","KY","A","Single Labor Organization","Initial","12/15/2022",8,NA,"UA Local Union 669 Road Sprinkler Fitters",1,"",NA,"",NA,1,2,"",7,"Y","","All full-time and regular part-time employees engaged in the fabrication and installation of fire sprinkler systems employed by the Employer at its 400 S. Big Run Road, Ashland, Kentucky facility; excluding inspectors, fire extinguisher technicians, office clerical employees, and all professional employees, guards and supervisors as defined in the Act, and all other employees.","","","",3,"","","Included:  All full-time and regular-part time employees engaged in the fabrication and installation of fire sprinkler systems.

Excluded:  All other employees, including inspectors, fire extinguisher technicians, office clericals, supervisors and guards as defined in the Act.",8,38.473824,-82.647933,"Ashland, KY 41101",1,"place","TIGER/Line® dataset from the US Census Bureau","Ashland","Boyd County","KY","41101","US",1,38.131688495879,-82.6915250963064,NA,NA
"09-RC-309216","TRADER JOE'S EAST, INC.","Region 09, Cincinnati, Ohio","Open","12/20/2022","","","Louisville","KY","A","Single Labor Organization","Initial","01/26/2023",106,NA,"Trader Joe's United",48,"",NA,"",NA,36,84,"",7,"","Trader Joe's United","All full-time and regular part-time crew and merchants employed by the Employer at its 4600 Shelbyville Road, Suite 111, Louisville, Kentucky facility (Store No. 628); excluding all mates, captains, office clerical employees, and all professional employees, guards and supervisors as defined in the Act.","","","",100,"","Trader Joe's United","Included: All full-time and regular part-time crew and merchants of Trader Joe’s located at Store 628, 4600 Shelbyville Road, Suite 111, Louisville, KY 40207, excluding all mates, captains and supervisors as defined by the National Labor Relations Act. 

Excluded: All full-time and regular part-time crew and merchants of Trader Joe’s located at Store 628, 4600 Shelbyville Road, Suite 111, Louisville, KY 40207, excluding all mates, captains and supervisors as defined by the National Labor Relations Act.",106,38.25247,-85.753812,"Louisville, KY 40202",1,"place","TIGER/Line® dataset from the US Census Bureau","Louisville","Jefferson County","KY","40202","US",1,38.3241506545388,-85.4033218811574,NA,NA
"09-RC-312087","PATRONUS SYSTEMS, INC.","Region 09, Cincinnati, Ohio","Open","02/13/2023","","","Louisville","KY","A","Three Labor Organizations","Rerun","03/08/2024",74,2,"International Union, Security, Police and Fire Professionals of America (SPFPA)",26,"United Federation LEOS-PBA Law Enforcement Officers Security & Police          Benevolent Association (LEOSU)",10,"International Guards Union of America",2,1,39,"",NA,"","International Union, Security, Police and Fire Professionals of America (SPFPA)","All full-time and regular part-time armed and unarmed protective security officers performing guard duties, as defined in Section 9(b)(3) of the National Labor Relations Act, employed by Paragon Systems, Inc. and Patronus Systems, Inc. in federal facilities in the Commonwealth of Kentucky, excluding office clerical employees, professional employees, and supervisors as defined by the National Labor Relations Act.","","","",77,"","","Included: All full-time and part-time armed AND unarmed protective security officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by Paragon/Patronus @ Federal Facilities in the Commonwealth of Kentucky.  
Excluded: All office clerical employees, professional employees and supervisors as defined by the Act.",46,38.25247,-85.753812,"Louisville, KY 40202",1,"place","TIGER/Line® dataset from the US Census Bureau","Louisville","Jefferson County","KY","40202","US",1,37.8618334341378,-85.5525723559159,NA,NA
"09-RC-322712","ANR PLUMBING, LLC DBA 1-TOM-PLUMBING","Region 09, Cincinnati, Ohio","Open","07/28/2023","","","Sellersburg","IN","A","Single Labor Organization","Initial","08/29/2023",4,NA,"Plumbers, Pipefitters, and Service Technicians Local 502",NA,"",NA,"",NA,4,4,"",1,"","","All full-time and regular part-time plumbers and helpers employed by the Employer at its facility located at 131 S. New Albany Street, Sellersburg, Indiana; but excluding all office clerical employees, professional employees, guards and supervisors as defined in the Act.","","","",NA,"","","",NA,38.404577,-85.787963,"Sellersburg, IN 47172",1,"place","TIGER/Line® dataset from the US Census Bureau","Sellersburg","Clark County","IN","47172","US",1,38.4676219515302,-85.9013957589534,NA,NA
"09-RC-328464","PATRIOT PLUMBING, LLC","Region 09, Cincinnati, Ohio","Open","10/24/2023","","","Winchester","KY","A","Single Labor Organization","Rerun","04/13/2026",18,NA,"PLUMBERS & PIPE FITTERS UNION, LOCAL 452",NA,"",NA,"",NA,9,9,"",7,"","","All full-time and regular part-time plumbers, plumbers helpers, operators, and shop employees employed by the Employer out of its facilities located at 6095 Mt. Sterling Road, Winchester, Kentucky; but excluding all other employees, office clerical employees, guards, managerial employees, and supervisors as defined by the Act. 	","","","",36,"","","Included:  All full-time and regular part-time plumbers, plumbers helpers, operators, and shop employees employed by the Employer out of its facilities located at 6095 Mt. Sterling Road, Winchester, Kentucky 40391. 

Excluded:  All other employees, office clerical employees, guards, managerial employees, and supervisors as defined by the Act.",18,37.964922,-84.160724,"Winchester, KY 40391",1,"place","TIGER/Line® dataset from the US Census Bureau","Winchester","Clark County","KY","40391","US",1,38.0042950320502,-83.939093497275,NA,NA
"09-RC-339359","HEARTHSIDE FOOD SOLUTIONS, LLC","Region 09, Cincinnati, Ohio","Open","04/05/2024","","","London","KY","A","Single Labor Organization","Initial","05/08/2024",647,3,"Bakery, Confectionery, Tobacco Workers, and Grain Millers Local 57",222,"",NA,"",NA,304,526,"",9,"","","All full-time and regular part-time production and maintenance employees, including mixing, packaging, warehouse, logistics, sanitation, and quality control employees employed by the Employer at its 1188 S. Laurel Road, London, Kentucky facility; but excluding all managers, lead employees, coordinators, specialists, security guards, temporary employees, office clerical employees, and supervisors as defined by the Act.","","","",600,"","","Included: All full-time, and regular part-time production and maintenance employees, including, clerical, warehouse, sanitation and quality control employees.  Excluded: All managers, security guards, temporary employees and supervisors as defined by the Act.",647,37.154931,-84.096062,"London, KY 40741",1,"place","TIGER/Line® dataset from the US Census Bureau","London","Laurel County","KY","40741","US",1,37.3303629688771,-83.6373495765469,NA,NA
"09-RC-341508","BASSETT SERVICES HEATING AND COOLING, LLC","Region 09, Cincinnati, Ohio","Open","05/03/2024","","","Loveland","OH","A","Single Labor Organization","Initial","05/31/2024",12,NA,"UA Local 392, Plumbers, Pipefitters, and Mechanical Equipment Service Techs",5,"",NA,"",NA,3,8,"",5,"Y","","All full-time and regular part-time Plumbers, Drain Technicians, and Plumber Helpers employed by the Employer at its facility located at 8950 Glendale Milford Road, Loveland Ohio 45140, but excluding all other employees, office clericals, guards, and supervisors as defined in the National Labor Relations Act.","","","",8,"","","Included: All full-time and regular part-time Plumbers, Drain Technicians, and Plumber Helpers employed by Bassett Services at its Loveland, Ohio facility. Excluded: All other employees, office clericals, guards, and supervisors as defined in the Act.",12,39.223187,-84.245103,"Loveland, OH 45140",1,"place","TIGER/Line® dataset from the US Census Bureau","Loveland","Clermont County","OH","45140","US",1,39.0628216175578,-83.9850403450316,NA,NA
"09-RC-352339","DUBLIN CONVALARIUM OPERATING COMPANY, LLC","Region 09, Cincinnati, Ohio","Open","10/04/2024","","","Dublin","OH","A","Single Labor Organization","Initial","11/07/2024",85,NA,"United Food and Commercial Workers Union Local No. 1059",23,"",NA,"",NA,18,41,"",4,"","United Food and Commercial Workers Union Local 1059","VOTING GROUP - UNIT A (PROFESSIONAL UNIT):  	All full-time and regular part-time Registered Nurses and Respiratory Therapists employed by the Employer at its facility located at 6403 Post Road, Dublin, Ohio, excluding all other employees, non-professional employees, administrators, managers, office clerical employees, guards, and supervisors as defined in the Act. 


","VOTING GROUP - UNIT B (NON-PROFESIONAL UNIT):  All full-time and regular part-time Licensed Practical Nurses, State Tested Nursing Assistants, Dietary Aids, Maintenance Technicians, Housekeeping Aids and Laundry Aids employed by the Employer at its facility located at 6403 Post Road, Dublin, Ohio, excluding all other employees, professional employees, administrators, managers, office clerical employees, guards, and supervisors as defined in the Act. 

OTHERS PERMITTED TO VOTE:  The parties have agreed that the Cooks may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election. 

","VOTING GROUP - UNIT B (NON-PROFESIONAL UNIT):  All full-time and regular part-time Licensed Practical Nurses, State Tested Nursing Assistants, Dietary Aids, Maintenance Technicians, Housekeeping Aids and Laundry Aids employed by the Employer at its facility located at 6403 Post Road, Dublin, Ohio, excluding all other employees, professional employees, administrators, managers, office clerical employees, guards, and supervisors as defined in the Act. 

OTHERS PERMITTED TO VOTE:  The parties have agreed that the Cooks may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election. 

","VOTING GROUP - UNIT B (NON-PROFESIONAL UNIT):  All full-time and regular part-time Licensed Practical Nurses, State Tested Nursing Assistants, Dietary Aids, Maintenance Technicians, Housekeeping Aids and Laundry Aids employed by the Employer at its facility located at 6403 Post Road, Dublin, Ohio, excluding all other employees, professional employees, administrators, managers, office clerical employees, guards, and supervisors as defined in the Act. 

OTHERS PERMITTED TO VOTE:  The parties have agreed that the Cooks may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election. 

",55,"","United Food and Commercial Workers Union Local 1059","Included: All full-time and regular part-time Registered Nurses, Licensed Practical Nurses, State Tested Nursing Assistants, Respiratory Therapists, Dietary Aids and Maintenance Technicians.

Excluded: All temporary employees, all other employees, all professional employees, all administrators, managers, office clerical employees, guards, and supervisors as defined in the Act.",85,40.09746,-83.150103,"Dublin, OH 43016",1,"place","TIGER/Line® dataset from the US Census Bureau","Dublin","Franklin County","OH","43016","US",1,39.6089597676574,-82.7024896959848,NA,NA
"09-RC-358016","BLUEOVAL SK, LLC","Region 09, Cincinnati, Ohio","Open","01/07/2025","","","Glendale","KY","A","Single Labor Organization","Initial","08/27/2025",1249,1,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",526,"",NA,"",NA,515,1041,"",41,"Y","","All full-time and regular part-time production and maintenance employees employed by the Employer at its Glendale, Kentucky facility; excluding all other employees, all professional employees, guards and supervisors as defined in the Act.

OTHERS PERMITTED TO VOTE:  At this time, no decision has been made regarding whether SERTI and SERTII employees are included or excluded from the bargaining unit and individuals in those classifications may vote in the election, but their ballots shall be challenged since their eligibility has not been resolved.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
","","","",618,"","","Included:  All full-time and regular part-time production and maintenance employees.

Excluded:  Office clerical employees, professional employees, guards & supervisors under the Act",1249,37.60173,-85.90552,"Glendale, KY 42740",1,"place","TIGER/Line® dataset from the US Census Bureau","Glendale","Hardin County","KY","42740","US",1,38.0967000953439,-86.2127216697843,NA,NA
"09-RC-360923","PYE-BARKER FIRE & SAFETY, LLC D/B/A A1 SPRINKLER & SYSTEMS INTEGRATION","Region 09, Cincinnati, Ohio","Open","02/25/2025","","","Miamisburg","OH","","","","",NA,NA,"Road Sprinkler Fitters Local Union 669",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",19,"","","Included: All full-time and regular part-time Sprinkler Fitters, Sprinkler Fitter Apprentices,
and Sprinkler Fitter Helpers employed by Pye-Barker Fire & Safety, LLC d/b/a A1 Sprinkler &
Systems Integration in the Sprinkler Contracting Department and/or who report to the direct supervisor of the Sprinkler Contracting Department at the facility located at 2383 Northpointe Dr., Miamisburg, OH 61252.

Excluded: All other employees, including managerial employees, supervisory
employees, professional employees, clerical employees, guards and confidential employees.",NA,39.641658,-84.27464,"Miamisburg, OH 45342",1,"place","TIGER/Line® dataset from the US Census Bureau","Miamisburg","Montgomery County","OH","45342","US",1,39.5835978573227,-83.9343635139925,NA,NA
"09-RC-363717","BEST VIRGINIA HEATING AND COOLING, LLC","Region 09, Cincinnati, Ohio","Open","04/14/2025","","","Hurricane","WV","A","Single Labor Organization","Initial","05/01/2026",22,NA,"Plumbers & Pipefitters UA Local 625",6,"",NA,"",NA,12,18,"",NA,"","","All full-time and regular part-time HVAC Installation Group Leaders, HVAC Installation Journeymen, and HVAC Installation Apprentices employed by the Employer, working at or out of its Scott Depot, West Virginia facility; excluding all other employees, and all office clerical employees, managerial employees, guards and supervisors as defined in the Act.
","","","",NA,"","","",NA,38.397097,-81.961657,"Hurricane, WV 25526",1,"place","TIGER/Line® dataset from the US Census Bureau","Hurricane","Putnam County","WV","25526","US",1,37.9742945833923,-81.6004890070691,NA,NA
"09-RC-365051","JFDB, LLC D/B/A FELDKAMP MECHANICAL","Region 09, Cincinnati, Ohio","Open","05/06/2025","","","Lexington","KY","A","Single Labor Organization","Initial","09/24/2025",22,NA,"Plumbers & Steamfitters Local 452, affiliated with United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada",NA,"",NA,"",NA,7,7,"",15,"Y","","All full-time and regular part-time pipefitters, welders, HVAC technicians, and their apprentices employed by the Employer at its Lexington, KY facility; excluding all other employees, office clerical employees, professional employees, guards and supervisors as defined by the Act.","","","",6,"","","Included:  All full-time and regular part-time pipefitters, welders, HVAC technicians, and their apprentices employed by the Employer at its Lexington, KY facility.

Excluded:  All other employees, office clerical employees, professional employees, guards and supervisors as defined by the Act.",22,38.016674,-84.486043,"Lexington, KY 40502",1,"place","TIGER/Line® dataset from the US Census Bureau","Lexington","Fayette County","KY","40502","US",1,38.0707163446801,-84.6083521045394,NA,NA
"09-RC-369318","LOOMIS ARMORED US, LLC","Region 09, Cincinnati, Ohio","Open","07/15/2025","","","Charleston","WV","A","Single Labor Organization","Initial","08/13/2025",10,NA,"United Federation LEOS-PBA Armored Car Division",4,"",NA,"",NA,4,8,"",NA,"","","All full-time and regular part-time vault leads, coin leads, vault clerks, and coin tellers employed by Loomis Armored US, Inc. at its 414 Bream Street DC, Charleston, West Virginia, 45312 location; excluding all other employees, CIT employees, CMS tellers, office clerical employees, driver guards, messenger guards, professional employees, and supervisors as defined in the National Labor Relations Act.","","","",8,"","","Included: All full time and regular part time vault and coin employees employed by Loomis as noted in 11d.  

Excluded: All office clerical employees, professional employees, drivers & messengers and supervisors as defined by the Act.",10,38.350719,-81.630359,"Charleston, WV 25301",1,"place","TIGER/Line® dataset from the US Census Bureau","Charleston","Kanawha County","WV","25301","US",1,38.5344726066305,-81.8448968210116,NA,NA
"09-RC-370841","TRICONT TRUCKING COMPANY","Region 09, Cincinnati, Ohio","Open","08/06/2025","","","Columbus","OH","A","Single Labor Organization","Initial","09/10/2025",12,NA,"United Food and Commercial Workers International Union, CLC (UFCW), Local 1059",11,"",NA,"",NA,NA,11,"",NA,"","United Food and Commercial Workers Union Local 1059","All full-time and part-time Drivers employed by the Employer, Tricont Trucking Company, working out of the Employer’s Delmonte facility located at 2200 Westbelt Drive, Columbus, Ohio, excluding all other employees, office clerical employees, managers, and guards and supervisors as defined by the Act.
","","","",12,"","United Food and Commercial Workers Union Local 1059","Included: All full-time and part-time Drivers employed by Tricont Trucking Company working out of the Delmonte
facility located at 2200 Westbelt Drive, Columbus, OH 43228.

Excluded:  All office clerical employees, guards, managers, and supervisors as defined by the Act.",12,40.100924,-83.013402,"Columbus, OH 43085",1,"place","TIGER/Line® dataset from the US Census Bureau","Columbus","Franklin County","OH","43085","US",1,40.1560592128386,-82.6880441237476,NA,NA
"09-RC-371438","FRITO-LAY NORTH AMERICA, INC.","Region 09, Cincinnati, Ohio","Open","08/15/2025","","","Prestonsburg","KY","A","Single Labor Organization","Initial","09/17/2025",15,NA,"International Brotherhood of Teamsters (IBT), Local 175",6,"",NA,"",NA,6,12,"N",1,"Y","International Brotherhood of Teamsters Local 175","All RSR, RSA, and full-time merchandisers employed by the Employer at its Prestonsburg, Kentucky location, excluding all part-time employees, guards, office employees, and supervisors as defined by the Act.","","","",15,"","International Brotherhood of Teamsters Local 175","Included:  All RSR, RSA, and full-time merchandisers employed at the Prestonsburg location. 

Excluded: All part time employees, guards, office employees, and supervisors as defined by the Act.",15,37.66565,-82.77155,"Prestonsburg, KY 41653",1,"place","TIGER/Line® dataset from the US Census Bureau","Prestonsburg","Floyd County","KY","41653","US",1,37.6323256389197,-82.7687932353534,NA,NA
"09-RC-379156","INNOVATIVE DEMOLITION SERVICES, LLC","Region 09, Cincinnati, Ohio","Open","01/15/2026","","","Lexington","KY","","","","",NA,NA,"International Union of Operating Engineers Local 181, AFL-CIO (IUOE)",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",15,"","","Included:  Operators, Mechanics and Truck Drivers.

Excluded:  All clerical and professional employees, guards and supervisors defined by the Act.",NA,38.016674,-84.486043,"Lexington, KY 40502",1,"place","TIGER/Line® dataset from the US Census Bureau","Lexington","Fayette County","KY","40502","US",1,37.7135326454168,-84.4083198025938,NA,NA
"09-RC-379183","CONCRETE CORING COMPANY OF CENTRAL KENTUCKY, INC.","Region 09, Cincinnati, Ohio","Open","01/15/2026","","","Lexington","KY","","","","",NA,NA,"International Union of Operating Engineers Local 181, AFL-CIO (IUOE)",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",7,"","","Included:  Operators, Mechanics, and Truck Drivers.

Excluded:  All clerical and professional employees, guards and supervisors defined by the Act.",NA,38.016674,-84.486043,"Lexington, KY 40502",1,"place","TIGER/Line® dataset from the US Census Bureau","Lexington","Fayette County","KY","40502","US",1,37.6560682334689,-84.89454842509,NA,NA
"09-RC-379269","BW INDUSTRIAL LLC","Region 08, Cleveland, Ohio","Open","01/16/2026","","","Altoona","PA","A","Single Labor Organization","Initial","03/18/2026",30,3,"International Union of Bricklayers and Allied Craftworkers",8,"",NA,"",NA,1,9,"",5,"","International Union of Bricklayers and Allied Craftworkers","Included: All full-time and regular part-time bricklayers employed by BW Industrial LLC within the United States using the Steiny/Daniel formula.
Excluded: All other employees, laborers, scaffolders, millwrights, mechanical employees, operating engineers, guards, and supervisors as defined in the National Labor Relations Act.

Also eligible to vote are all employees in the unit(s) who either (1) were employed a total of 30 working days or more within the 12 months preceding the election eligibility date or (2) had some employment in the 12 months preceding the election eligibility date and were employed 45 working days or more within the 24 months immediately preceding the election eligibility date. However, employees meeting either of those criteria who were terminated for cause or who quit voluntarily prior to the completion of the last job for which they were employed, are not eligible.","","","",NA,"","","",NA,38.25247,-85.753812,"Louisville, KY 40202",1,"place","TIGER/Line® dataset from the US Census Bureau","Louisville","Jefferson County","KY","40202","US",1,38.3114269029398,-85.4973495566129,NA,NA
