"Case Name","Case Number","Case Type",City,"Date Closed","Date Filed","Employees on charge/petition","Reason Closed",Region,State,Status,Union,"Unit Sought",Voters
"GHG Management, LLC d/b/a Windy City Cannabis",13-RC-271360,R,Chicago,,01/14/2021,33,,"Region 13, Chicago, Illinois",IL,Open,"United Food and Commercial Workers Local 881","Included:  All full-time and part-time Product Specialist.

Excluded: Managers, supervisors, product specialist leads/agent in charger and security guards as defined by the Act.",29
"Ryder Truck Rental, Inc.",04-RD-268922,R,Lancaster,,11/13/2020,7,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Included:  All full-time and regular part-time Technicians and Service Employees employed by the Employer at its 795 Flory Mill Road, Lancaster, Pennsylvania facility.

Excluded: All other 
employees, guards, and supervisors as defined in the Act.",
"CVS Pharmacy",13-UC-266228,R,Chicago,,09/16/2020,113,,"Region 13, Chicago, Illinois",IL,Open,,"Included: All registered pharmacists, graduate non-registered pharmacists, regularly employed part-time graduate and registered pharmacists and student pharmacy interns.
Excluded: All store managers, assistant store managers, manager trainees, all supervisors and 
guards as defined in the Act and all other employees.",
"D. Daniels Contracting Ltd.",29-RC-271259,R,Inwood,,01/12/2021,15,,"Region 29, Brooklyn, New York",NY,Open,,"Included: Mechanics, drivers, helpers. Excluded: Clerical employees, guards, supervisors",
"Hussmann Services Corporation",27-RC-271418,R,Denver,,01/15/2021,19,,"Region 27, Denver, Colorado",CO,Open,,"Included: All full-time and regular part-time Commercial Refrigeration Service Technicians employed by the Employer at its Colorado facilities in Colorado Springs, Denver and Grand Junction. Excluded: All other employees, managerial employees, guards and supervisors within the meaning of the Act.",
"Allied Universal Security Services",04-RC-269155,R,Conshohocken,,11/18/2020,20,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Included: All full-time and regular part-time security officer bike patrol employed by the Employer in its Center City District in Philadelphia, Pennsylvania. Excluded: All other employees and supervisors as defined within the Act.",
"Impact Site Works, LLC",13-RC-271615,R,"East Chicago",,01/20/2021,6,,"Region 13, Chicago, Illinois",IN,Open,"International Union of Operating Engineers Local 150 AFL-CIO","Included:  All full-time and regular part-time operators and mechanics.

Excluded:  All laborers, managers, supervisors, superintendents, clericals, and guards as defined under the Act.",5
"Hood River Distillers, Inc.",19-RD-271944,R,"Hood River",,01/28/2021,30,,"Region 19, Seattle, Washington",OR,Open,,"Included:  Non-supervisory employees. Excluded: Supervisors and Admin employees
",45
"Swift Beef Company",27-RC-271964,R,Greeley,,01/28/2021,6,,"Region 27, Denver, Colorado",CO,Open,"United Food and Commercial Workers Local 7","Included: All classroom trainers in a self-determination election to determine whether they will be represented by Petitioner and join the existing bargaining unit represented by Petitioner at the Greeley, Colorado plant (Armour-Globe election). Excluded: All other employees, supervisors, security, confidential, and all temporary employees as defined in the Act.",5
"Tate's Bake Shop, Inc.",29-RC-271138,R,"East Moriches",,01/07/2021,300,,"Region 29, Brooklyn, New York",NY,Open,,"Included:
Packers, Depositors, Runners, Mixers, Bakers, Team leads, Sanitation, Warehouse,
Maintenance, and Band Oven Operators.


Excluded:
Clerical employees, confidential employees, and other employees, and supervisors
as defined by the National Labor Relations Act.",
"Taylor Farms California, Inc.",28-RC-272061,R,Yuma,,02/01/2021,25,,"Region 28, Phoenix, Arizona",AZ,Open," International Brotherhood of Teamsters Local Union 890","INCLUDED:  All rotators and loaders

EXCLUDED:  All dispatchers, guards, supervisors, clerical employees as defined by the Act.",24
"ThedaCare Regional Medical Center - Appleton, Inc",18-UC-271583,R,Appleton,,01/20/2021,240,,"Region 18, Minneapolis, Minnesota",WI,Open,,"Included:
All full-time and part-time employees working 20 or more hours per week
Excluded:
Supervisory personne, office, and clerical employees, registered and licensed practical nurses

Proposed Unit Included:
same as in 5a above, except including 3 EVS trainers/lead workers
Proposed Unit Excluded:
same as 5a above",
"Drexel University",04-RC-271435,R,Philadelphia,,01/15/2021,18,,"Region 04, Philadelphia, Pennsylvania",PA,Open,"TEAMSTERS UNION LOCAL NO. 115 a/w INTERNATIONAL BROTHERHOOD OF TEAMSTERS","Included:  All full-time Residential Desk Coordinators (""RDC"") employed by the Employer at its University City and Center City campuses.

Excluded:  All full-time and regular part-time students, supervisors, guards as defined in the Act, and all other full-time and regular part-time employees employed by the employer at its University City and Center City campuses.",18
"Monfefo LLC",29-RC-271803,R,Brooklyn,,01/25/2021,7,,"Region 29, Brooklyn, New York",NY,Open,,"Included: Production works (part-time and full-time) Excluded: All other employees and supervisors as defined by the Act",
"Gimme Coffee, Inc.",03-RD-271639,R,Ithaca,,01/22/2021,13,,"Region 03, Buffalo, New York",NY,Open,,"Included: All full-time, part-time, and variable hour employees with the job title “Barista” including Lead Baristas, employed by Gimme! Coffee at its facilities in Ithaca and Trumansburg Excluded: Store managers, confidential employees, professional employees, and supervisors as defined in the National Labor Relations Act, and all other non-barista employees.",
"GBC Advanced Materials, LLC",06-RD-273153,R,Latrobe,,02/22/2021,20,,"Region 06, Pittsburgh, Pennsylvania",PA,Open,,"Included: All production and maintenance employees, including plant clerical employees, of the Company at Latrobe, PA plant.

Excluded: Office clerical employees, draftsmen, salesmen, confidential employees, all other employees, all other employees and guards, professional employees and supervisors as defined in the Labor Management Act of 1947, as amended.",
"Capital Automatic Sprinkler, LLC",14-RC-273162,R,California,,02/23/2021,6,,"Region 14, Saint Louis, Missouri",MO,Open,"Road Sprinkler Fitters Local Union  No. 669, U.A., AFL-CIO","Included:  All employees involved in the installation or servicing of automatic fire protection systems.  Excluded:  Supervisors.",7
"International Paper Company",19-RC-272466,R,Beaverton,,02/09/2021,23,,"Region 19, Seattle, Washington",OR,Open,,"Included:  All full and regular part-time employees employed by the Employer at its Beaverton, Oregon facility, including, but not limited to, production, shipping, maintenance and truck driving employees.

Excluded:  Office clerical, temporary employees, guards and supervisors as defined by the Act.",32
"Central Yetev Lev D'Satmar Meat,  Inc.",29-RC-271860,R,Brooklyn,,01/27/2021,19,,"Region 29, Brooklyn, New York",NY,Open,,"Included: All regular fill-time and part-time nonsupervisory personel

Excluded-office clerical and supervisor as defined by the national labor relations act as ammend",
"Institute of Culinary Education, Inc.",02-RC-270689,R,"New York",02/26/2021,12/28/2020,56,"Certific. of Representative","Region 02, New York, New York",NY,Open,"ICE Faculty Committee",,47
"Daicel Safety Systems Americas, Inc.",10-RC-273374,R,"Beaver Dam",,02/26/2021,21,,"Region 10, Atlanta, Georgia",KY,Open,,"INCLUDED: All full-time and regular part-time employees who perform machinery maintenance
and repair employed by DSSA at its factory located at 720 Old Liberty Church Road, Beaver Dam,
KY.
EXCLUDED: all other employees, including production employees, facilities maintenance
employees, weld machine operators, office clerical employees, engineers, and all professional
employees, guards, and supervisors as defined in the Act.",
"Rush University Medical Center",13-RC-272731,R,Chicago,,02/16/2021,41,,"Region 13, Chicago, Illinois",IL,Open,,"Indluded: All full time and part time Licensed Laboratory Technician (Phlebotomist) employees working seventeen (17) or more hours per week employed at the employer’s 1620 W Harrison St Facilities.

Excluded:
Supervisors, temporary and casual employees, nursing assistant IIs (NAIIs), regular part-time
employees normally working less than seventeen (17) hours per week, and all other employees
of the Medical Center.",
"Colectivo Coffee Roasters, Inc",18-RC-272212,R,Milwaukee,,02/03/2021,339,,"Region 18, Minneapolis, Minnesota",WI,Open,,"Included:  All full-time and part-time employees of the employer in the classifications of All Café Coworkers, MOD, Ambassador, LROD, Driver, Coffee Trainer, Roaster, Warehouse Worker, Service Technician, Shift Lead and Bakery Worker, working at the café, bakery and warehouse locations in Illinois and Wisconsin.

Excluded:  Supervisory, General Manager, Officer Clerical, Professional employees and guards as defined by the Act and other employees.",328
"Nutritional Management Services, Inc.",29-RC-272399,R,"Far Rockaway",,02/05/2021,13,,"Region 29, Brooklyn, New York",NY,Open,,"Included: All regular full time, part time and per diem Dietary Aides, Cook 1, Cook 11, Dietary Porters, Cooks, Helpers and Pot Washers employed at the 1711 Brookhaven Avenue location.
Excluded: All guards, managers, confidential employees and supervisors as defined by the Act.",
"Hofstra University",29-UD-273473,R,Hempstead,,03/02/2021,57,,"Region 29, Brooklyn, New York",NY,Open,,"Included: Full Time and Part-Time security. Excluded: all others",
"Project Social Care Head Start, Inc.",29-RC-273752,R,Brooklyn,,03/05/2021,22,,"Region 29, Brooklyn, New York",NY,Open,,"Included: All full-time, part-time, float, and per-diem Lead Teachers, Assistant
Teachers, Teacher Aides, Floaters, Family Advocates, Cook/Janitor.
Excluded: All managerial employees, supervisors, security guards, and confidential
employees as specified by the Act.",
"Global Cooling, Inc.",09-RC-268803,R,Athens,,11/10/2020,50,,"Region 09, Cincinnati, Ohio",OH,Open,,"Included: Techs, Assembly, Machinist, Welder, Maint., QualControl, Shipping, Charge/Vac, Sek.  Excluded:  All office clericals, guards, supervisors as defined by the Act and other employees.",57
"Nissan North America, Inc.",10-RC-273024,R,Smyrna,,02/19/2021,87,,"Region 10, Atlanta, Georgia",TN,Open,,"Included: Tool and Die Maintenance Technicians

Excluded: Maintenance, Production, all other employees, & usual exclusions under the Act",
"Sysco Central California, Inc.",32-RC-272441,R,Modesto,,02/09/2021,44,,"Region 32, Oakland, California",CA,Open,,"Included: All drivers, including shuttle and delivery drivers.

Excluded: All managers, supervisors, and guards, as defined by the Act.",
"KASON CORPORATION",22-RC-273765,R,Millburn,,03/05/2021,40,,"Region 22, Newark, New Jersey",NJ,Open,"LOCAL 312, UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION (UFCW),  AFL-CIO","Included:  Lab Techs, Welders, Assemblers, Polishers, Screenmen, Shipping/Receiving.

Excluded:   All office and clerical employees, managers/supervisors and guards.",21
"Bombardier Transportation Holding USA Inc.",04-RC-271607,R,Camden,,01/21/2021,8,,"Region 04, Philadelphia, Pennsylvania",NJ,Open,"American Train Dispatchers Association","Included: All full-time and regular part-time employees who perform rail traffic controller services Excluded: All other employees, supervisors, managers, guards, and confidential employees as defined by the Act",8
"13th Avenue Supermarket LLC d/b/a Gourmet Glatt",29-RC-271363,R,Brooklyn,,01/13/2021,85,,"Region 29, Brooklyn, New York",NY,Open,,"Included:
A11 regular full-time and part-time nonsupervisory personel

Excluded:
Office clerical and supervisors as defined by the national labor relations act as ammend",
"Fowler General Construction, Inc.",19-RC-273131,R,Richland,,02/22/2021,2,,"Region 19, Seattle, Washington",WA,Open,"Operative Plasterers and Cement Masons International Association, Local 72","Included:  All full time and regular part-time Cement Masons

Excluded:  All other employees, guards, and supervisors as defined by the Act.",7
"Collier County Education Association",12-UC-269740,R,"Punta Gorda",,12/03/2020,3,,"Region 12, Tampa, Florida",FL,Open,,"Included: member rights advocate, office manager

Excluded: executive director",
"GC AVANTech, LLC",19-RC-273288,R,Richland,,02/24/2021,9,,"Region 19, Seattle, Washington",WA,Open,,"Included:  

All full time welders, electricians, and helpers, working at Avantech's 2155 Robertson Drive, Richland, WA facility.

Excluded:

All other employees, part-time employees, materials coordinator, quality assurance/control employees, office clerical employees, engineers, and all professional employees, guards, and supervisors as defined in the Act.  

",12
"AT&T Mobility Services, LLC",07-RC-269780,R,Southfield,,12/04/2020,47,,"Region 07, Detroit, Michigan",MI,Open,,"All Outside Premise Sales Representatives employed within the AT&T Mobility Home Solutions
Departrnent holding the titles of Integrated Solutions Consultants (""ISCs"") and Integrated Sales
Support Specialists (""IS S S""), and reporting to 23500 Northwestern Hwy, Bldg. S, Southfield, MI
48075.",
"Los Angeles Daily News Publishing Company, a Delaware Corporation d/b/a Los Angeles Daily News; Long Beach Publishing Company; a Delaware Corporation d/b/a Long Beach Press Telegram; Torrance Holdings, LLC, formed in Delaware d/b/a Torrance Daily Breeze; San Gabriel Valley Tribune; Whittier Daily News; Pasadena Star-News; Inland Valley Daily Bulletin; Redlands Daily Facts; The Riverside Press-Enterprise; The Sun (San Bernandino); The Orange County Register; and California Newspaper Partnership, a Delaware General Partnership doing business as Southern California News Group",21-RC-273230,R,Anaheim,,02/24/2021,140,,"Region 21, Los Angeles, California",CA,Open,,"Included: All full-time and regular part-time editorial employees of the Employer

Excluded: Managerial employees, supervisors and guards as defined by the Act.",
"JJR Construction Group LLC",12-RC-273572,R,Naguabo,,03/02/2021,6,,"Region 12, Tampa, Florida",PR,Open,,"Included: All the full time and regular part time crane operators employed by the employer at its Naguabo facilities Excluded: All other employees, office clerical employees, professional employees, confidential employees, guards and supervisors as defined by the Act",
"ISS Action Inc",16-RC-271479,R,LAREDO,,01/19/2021,28,,"Region 16, Fort Worth, Texas",TX,Open,,"Included: All full-time and regular part-time Transportation Security Officers employed by the Company at its Border Patrol facility located in Laredo, Texas, performing guard duties as defined in Section 9(b)(3) of the Act, 

Excluded: Office clerical employees, sergeants, lieutenants, captains, sector managers, cleaners, mechanics, trainers and all supervisors and all other employees.",
"Greif Packaging, LLC",04-RC-273420,R,Warminster,,03/01/2021,47,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Included: All production, maintenance and quality control Excluded: All clerical, office, supervisors and HR employees",50
"Ineos Pigments LLC",08-RC-273505,R,Ashtabula,,03/02/2021,129,,"Region 08, Cleveland, Ohio",OH,Open,,"Production and maintenance employees in the job classifications described in the petition.",
"Christopher House",13-RC-274414,R,Chicago,,03/19/2021,41,,"Region 13, Chicago, Illinois",IL,Open,,"Included: teachers, floater teachers, counselors, paraprofessionals, and office staff
Excluded: confidential and managerial employees, guards and supervisors as defined by the Act.",
"Station Casinos LLC d/b/a Palms Casino Resort",28-RD-273582,R,"Las Vegas",,03/03/2021,19,,"Region 28, Phoenix, Arizona",NV,Open,,"INCLUDED:  Maintenance engineers, junior engineers, painters and carpenters employed at the facility

EXCLUDED:  All other employees, office clericals, professional employees, guards and supervisors under the Act.",
"Dandelion Chocolate, Inc.",20-RC-274439,R,"San Francisco",,03/22/2021,40,,"Region 20, San Francisco, California",CA,Open,,"Included: All full time and regular part-time employees, including Communications
Team Associate, Dean of Beans, Chocolate Educator, Lead Chocolate Educator, Guest
Experience Ambassador, Product Maker, Sr. Product Maker, Fulfillment Associate,
Porter & Dishwasher, Barista & Café Associate, Chocolate Maker, Lead Chocolate
Maker, Sr. Chocolate Maker, Factory Assistant, Confections Assistant, Recipe
Developer, Pastry Assistant, Pastry Lead, Busser & Dishwasher, Guest Concierge,
Delivery Hero, and Delivery Driver-Warehouse Associate employed by the Employer at
its four San Francisco, CA locations
Excluded: Managers, assistant managers, guards, supervisors as defined by the Act,
confidential employees, office clerical employees, seasonal employees, irregular parttime
employees, and temporary employees",43
"Import Motors II, Inc. dba Audi Concord",32-RC-272003,R,Concord,,01/29/2021,5,,"Region 32, Oakland, California",CA,Open,,"Included: All full-time and regular part-time Service Advisors.

Excluded: All others.",8
"21st Century Cyber Charter School",04-RC-272006,R,"West Chester",,01/29/2021,93,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Included: All full-time and regular part-time professional instructional employees, including lead teachers, teachers, counselors, registered nurses, long term substitute teachers, and content developers employed by the Employer at its West Chester, Downingtown and Murrysville, Pennsylvania facilities; Excluded: All office clerical employees and guards, managerial employees and supervisors as defined in the Act, and all other employees",
"Wide Open West Illinois, LLC",13-RC-274653,R,Warrenville,,03/25/2021,48,,"Region 13, Chicago, Illinois",IL,Open,,"Included: Service Techs, Field Service Techs, Fiber Techs, Commertical Techs, Laborers & Warehouse

Excluded:
Payment Center Clerks, Network Assurance Center employees & all other employees",
"NYC Crane Hoist Operations, LLC",29-RC-274826,R,Brooklyn,,03/26/2021,11,,"Region 29, Brooklyn, New York",NY,Open,,"incl;
All full-time and regularly scheduled part-time employees engaged in installing Architectural
precast concrete panels at the Greenpoint Landing project jobsite in Greenpoint, Brooklyn

excl;
All other trades, employees, guards, casual employees, confidential clerical and office workers,
professional employees and supervisors as defined by the Act.",
"The Waltham Committee, Inc.  d/b/a WCI- Work,  Community, Independence",01-RC-274079,R,Waltham,,03/12/2021,87,,"Region 01, Boston, Massachusetts",MA,Open,"International Brotherhood of Teamsters Joint Council 10 New England Teamsters Local 25","Employees included: All full-time, regular part time and relief workers in the Deaf Residential Supports Division, Employment/Day Supports Division, and Acquired Brain Injury (ABI) group home - including Assistant Support Coordinators, Support Specialists, Employment Specialists, Habilitation Specialists, and Art Initiative Coordinators at the following addresses: 45 Rumford Avenue (Waltham), 60 Livingstone Lane (Waltham), 19 Central Street (Waltham), 21 Central Street (Waltham), 43 Bruce Road (Waltham), 8 Hatherly Road (Waltham), 28 Heard Street (Waltham}, 30 Heard Street (Waltham), 9A Jaqueline Road (Waltham) , 15 Huntington Street  (Waltham), 111 Virginia Road (Waltham), and 71 Summer Street (Maynard).

Employees excluded: All other employees including guards, division heads, directors as defined in the act.
",93
"CBRE Technical Services, LLC",29-RC-275001,R,"East Islip",,03/31/2021,6,,"Region 29, Brooklyn, New York",NY,Open,,"Included:
All full time and regular part time mobile engineers.

Excluded:
All clerical employees, professional employees, guards and supervisors under the Act.
",
"US Foods, Inc.",10-RC-274613,R,Salem,,03/24/2021,110,,"Region 10, Atlanta, Georgia",VA,Open,"International Brotherhood of Teamsters Local 171","Included: All Drivers working from and managed from the Salem VA facility Excluded: Clerical, professional and confidential employees and supervisors as defined by the Act",124
"Concrete Company of the Ozarks",14-RC-274968,R,Springfield,,03/31/2021,9,,"Region 14, Saint Louis, Missouri",MO,Open,,"Included:  all full-time and regular part-time hourly paid drivers at Employer's facility at 3612 W. Nicholas St., Springfield, Missouri  65803.  Excluded:  All temporary employees, office/clerical employees, dispatchers, salespersons, managerial employees, professional employees, guards and supervisors as defined in the Act.",
"Penske Truck Leasing Co, L.P.",16-UC-270864,R,Dallas,,12/30/2020,46,,"Region 16, Fort Worth, Texas",TX,Open,,"6a.
As to the Irving Boulevard Unit:

Included: All Technicians and Customer Service Representatives employed at 4435 Irving Blvd.,
Dallas, Texas, 75247.

Excluded: All other employees, including office clericals, inside and outside sales, guards,
watchmen, janitors, hikers, Technicians and Customer Service Representatives employed at 5523 S. Cockerell Hill Rd., Duncanville, Texas, 75137, and supervisors.

As to the Duncanville Unit:

Included: All Technicians and Customer Service Representatives employed at 5523 S. Cockerell Hill Rd., Duncanville, Texas, 75137.

Excluded: All other employees, including office clericals, inside and outside sales, guards,
watchmen, janitors, hikers, Technicians and Customer Service Representatives employed at 4435 Irving Blvd., Dallas, Texas 75247, and supervisors.

10.
The associates working at 4435 Irving Blvd., Dallas, Texas, 75247 have a separate and distinct community of interests from the associates working at 5523 Cockerell Hill Rd., Duncanville, Texas, 75137. As a result, a multi-location unit consisting of these two locations no longer conforms to reasonable standards of appropriateness and the unit should be clarified into two separate, stand-alone units.",
"Fox Television Stations, LLC",28-RD-274741,R,"Las Vegas",,03/25/2021,25,,"Region 28, Phoenix, Arizona",NV,Open,"NABET/CWA, LOCAL 53","INCLUDED:  All bargaining unit employees

EXCLUDED: Non-bargaining unit employees",25
"Salud Integral en la Montaña, Inc",12-RD-274767,R,Naranjito,,03/26/2021,107,,"Region 12, Tampa, Florida",PR,Open,,"INCLUDED:  All graduate nurses employed in the facilities of Barranquitas, Comerio, Corozal, Naranjito and Orocovis.
EXCLUDED:  All other employees, guards and supervisors as defined in the Act.",160
"Central Contractors Service, Inc.",13-RC-274899,R,Alsip,,03/31/2021,50,,"Region 13, Chicago, Illinois",IL,Open,,"Included: All full-time and regular part-time Craft Foreman, Operators, Oilers, Technicians, Riggers, Field Mechanics, Shop Mechanics, Apprentices, Parts Runners/Drivers, and Yardmen employed at the Employer's facilities in Local 150's Jurisdiction.

Excluded:
CDL Drivers and Non-CDL Drivers who are represented by the Teamsters, office and clerical employees, professional employees, sales representatives, guards and supervisors as defined under the Act.
",
"BrandSafway Industries, LLC f/k/a Brand Energy Services, LLC",22-RC-274632,R,Kenilworth,,03/23/2021,3,,"Region 22, Newark, New Jersey",NJ,Open,,"RIDER
to RC Petition Filed by New York City & Vicinity District Council of Carpenters of the
United Brotherhood of Carpenters and Joiners of America
(Employer: BrandSafway a/k/a/ Brand Energy Services LLC)
5b. Description of Unit Included: All employees performing warehouse work at and/or
driving work from the employer’s Kenilworth, New Jersey warehouse and supply yard

Excluded: All other Employees
",3
"Schervier Pavilion",02-RC-275194,R,Hawthorne,,04/06/2021,90,,"Region 02, New York, New York",NY,Open,,"Included: 
All full-time and regular part-time, including per diem*, non-professional employees, including LPNs
(Per Diem is defined as employees who worked an average of four or more hours per week for the thirteen week period immediately preceding the payroll eligibility date.)

Excluded:
All other employees, guards, and supervisors as defined in the Act. 
",
"Tilcon Inc.",22-RD-274797,R,Parsippany,,03/29/2021,41,,"Region 22, Newark, New Jersey",NJ,Open,,"Included: all full time and part time quarry worker drivers Excluded: supervisory, clerical, managerial employees",
"Intrinsic Schools",13-RC-274777,R,Chicago,,03/26/2021,100,,"Region 13, Chicago, Illinois",IL,Open,,"Included: Teachers, including substitutes and counselors, social workers, and paraprofessionals.

Excluded:
confidential and managerial employees, guards and supervisors as defined in the Act.",
"Suiza Dairy Corporation",12-RC-275136,R,Aguadilla,,04/05/2021,8,,"Region 12, Tampa, Florida",PR,Open,,"INCLUDED:  All regular full time and part time production employees employed by the Employer and all other employees as defined in RC-7942.
EXCLUDED:  All other employees excluded by 24-RC-7942.",
"Professional Placement Services, LLC",18-RD-275266,R,Milwaukee,,04/07/2021,11,,"Region 18, Minneapolis, Minnesota",WI,Open,,"Included: All full-time and regular part-time collection agents, floor team lead collectors, collection account representatives, collection assistants, collector assistants, administrative assistants, and clerical staff employed by the Employer at its Milwaukee, Wisconsin facility.
Excluded: All guards and supervisors, as defined in the Act.",15
"Moca/Ascend Modern Cannabis Dispensary",13-RC-274371,R,Chicago,,03/18/2021,31,,"Region 13, Chicago, Illinois",IL,Open,,"Included: All full-time and regular part-time Budtenders
Excluded: All other employees, office clerical employees, technicians, professional employees and guards and supervisors as defined in the Act.",
"Thyme Holdings, LLC, d/b/a Westgate Gardens Care Center",32-RD-274221,R,Visalia,,03/16/2021,111,,"Region 32, Oakland, California",CA,Open,,"Included: All full-time and regular part-time Certified Nursing Assistants (CNAs), Restorative Nurse Assistants (RNAs), Dietary Employees, Activity Assistants, and Maintenance Employees employed by the Employer at its facility located at 4525 W. Tulare Ave., Visalia, California.  

Excluded: Professional employees, office clerical employees, guards, and supervisors as defined in the Act.",
"Midwest Division - RMC, LLC",14-RD-274944,R,"Kansas City",,03/31/2021,693,,"Region 14, Saint Louis, Missouri",MO,Open,,"Included:  All full-tie and regular part-time (including eligible per diem) employees employed by Research Medical Center at its facilities located at 2316 E Meyer Blvd., Kansas City MO and 6601 Rockhill Road, Kansas City, MO, in one or more of the following combined units:  1)  technical employees; 2) service and maintenance employees.  Excluded:  Skilled maintenance employees, managers, guards, and supervisors, as defined by the Act, confidential employees, physicians, professional employees, nurses and/or clinical educators, or coordinators, clinical nurse specialists, clinical coordinators, case managers/utilization review and/or discharge planners, nurse practitioners, accounting or auditing RNs, infection control/employees health nurses, risk management/performance improvement and/or quality assurance or quality management nurses, business office clerical employees, employees of outside registries and other agencies supplying labor to the Employer, already represented employees and per diem employees who do not otherwise qualify as regular employees according to the NLRB.",
"Airway LLC",04-RC-271327,R,Philadelphia,,01/13/2021,25,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Included: All full-time and regular part-time employees employed by the Employer at the Philadelphia International Airport performing airport related services.

Excluded: All other employees not described above, employees represented by another union, food service employees, engineers, retail employees, office employees, confidential employees, managers, security guards and supervisors as defined in the Act.",
"Foragers Chelsea LLC",02-RC-272611,R,"New York",04/22/2021,02/11/2021,20,"Certific. of Representative","Region 02, New York, New York",NY,Open,"United Food & Commercial Workers Union Local 1500","Included:
All full-time and regularly scheduled part-time Food Preparers, Back Counter Workers, Porters/Dishwashers, Juice/Coffee Bar Attendants, Cashiers, Stockers and Receivers.

Excluded:
Buyers, Head Chefs, Drivers, Wine Workers, and all other employees, guards, casual employees, confidential clerical and office workers, professional employees and supervisors as defined by the Act.",19
"Cascade Public Media",19-RC-275078,R,Seattle,,04/02/2021,2,,"Region 19, Seattle, Washington",WA,Open,,"Included: 

All Agile Project Managers and Front End Developers. NOTE: Petitioner seeks an ""Armour Globe"" election to place these newly-represented employees within the existing Petitioner-represented bargaining unit.

Excluded: 

All other employees, and guards and supervisors as defined in the Act.",
"Commercial Facilities Management, Inc.",25-RC-275107,R,"Fort Wayne",,04/05/2021,2,,"Region 25, Indianapolis, Indiana",IN,Open,"International Union of Operating Engineers, Local 399","Included:
All full-time skilled maintenance workers, working for Commercial Facilities Management, Inc at 1300 S Harrison St, Fort Wayne, IN 46802
Excluded: 
Office, clerical, professional employees, managers, guards and supervisors as defined by The Act",2
"Neises Construction Corp.",13-RD-271580,R,"Crown Point",,01/20/2021,9,,"Region 13, Chicago, Illinois",IN,Open,,"Included: Footing and Wall Crew Excluded: Flatwork Crew",
"Freight Management Group, Inc. t/a FSI",22-RC-275549,R,Elizabeth,,04/14/2021,43,,"Region 22, Newark, New Jersey",NJ,Open,,"Included: Loaders.

Excluded: Any and all other employees Including supervisors.",
"SAK Builders, Inc.",19-RC-275146,R,Seattle,,04/05/2021,33,,"Region 19, Seattle, Washington",WA,Open,"SAK Builders, Inc.","Included:  Operative Plasterers and Cement Masons Local 528 members.

Excluded:  All other SAK Builders employees.",46
"Salud Integral en la Montana, Inc.",12-RD-275380,R,Naranjito,,04/09/2021,8,,"Region 12, Tampa, Florida",PR,Open,,"Included: All graduate nurses, quality control technician, social workers and physical and occupational therapists Employed by the Employer at its home care and hospice programs at its Naranjito facilities.
                                                                                                    
                                                           
Excluded: All other employees, accountants,  guards and supervisors as defined in the Act.
",
"Waste Solutions Group of San Benito, LLC d/b/a John Smith Road Landfill",32-RC-272701,R,Hollister,,02/12/2021,11,,"Region 32, Oakland, California",CA,Open,,"Included: Operators, Mechanics, Scale Attendants, Spotters, Laborers.

Excluded: Site Manager, Office Admin.",13
"The Permanente Medical Group, Inc.",20-UC-275438,R,"San Francisco",,04/09/2021,1941,,"Region 20, San Francisco, California",CA,Open,,"Description of Present Unit:
All full-time and regular part-time non-supervisory staff Neuropsychologists, Psychologists, Licensed Clinical Social Workers, Marriage and Family Therapists, Licensed Professional
Included: Clinical Counselors and Chemical Dependency Counselors I & II, Unlicensed Case Managers, Psychiatric Social Worker Assistants, Marriage and Family Therapy Assistants, Psychological Assistants, and Professional Clinical Counselor Assistants who perform clinical work and provide patient care in the Northern California Region

Excluded: All Psychologists, Chemical Dependency Counselors, Licensed Clinical Social Workers, Marriage and Family Therapists and Licensed Professional Clinical Counselors who work in supervisory, administrative and/or research capacities or function as Chiefs, Division Chiefs, Coordinators, Sub-Regional Chiefs/Coordinators, students and volunteers, and
supervisors as defined in the Act.

Description of Proposed Unit
Included: Union has requested that the Employer add to existing unit description: All non-supervisory Licensed Clinical
Social Workers employed in the Pediatric Development Disabilities Office in the Northern California Region
Excluded: n/a
",
"Beyond Hello IL, LLC",14-RC-275291,R,"East Saint Louis",,04/08/2021,40,,"Region 14, Saint Louis, Missouri",IL,Open,,"Included: All full-time and regular part-time customer consultants, senior customer consultants, and shift supervisors.  Excluded:  Store managers, office clerical employees, professional employees, guards, and supervisors as defined by the Act.",
"CITCO WATER",09-UC-275667,R,Huntington,,04/15/2021,15,,"Region 09, Cincinnati, Ohio",WV,Open,,"Present Unit:

Included:  Warehouse, drivers, electricians, service.

Excluded:  Supervisors.

Proposed Unit:

Included:  Warehouse, drivers, electricians, service.

Excluded:",
"G4S Regulated Security Solutions, a division of G4S Secure Solutions (USA) Inc.",03-RC-275717,R,Ontario,,04/16/2021,72,,"Region 03, Buffalo, New York",NY,Open,,"Included: All armed and unarmed security officers performing guard duties as defined in Section 9(b)(3) of the Act, as amended, for the Employer at Ginna Nuclear Station Excluded: All office clerical employees, professional employees, all supervisors ,as defined in the Act",
